index,pdb,prot_chain,na_chain,expected_filename,found_path,exists,size,prot_chain_count,na_chain_count,note
6464,7PIP,d,4,7PIP_d_4.cif,datasets/PRI30k/PDBs/7PIP_d_4.cif,True,283340,1402,10687,orig
6465,7PIP,d,7,7PIP_d_7.cif,datasets/PRI30k/PDBs/7PIP_d_7.cif,True,234902,1402,8387,orig
6466,7PIP,n,4,7PIP_n_4.cif,datasets/PRI30k/PDBs/7PIP_n_4.cif,True,244418,896,9493,orig
6467,7PIP,u,4,7PIP_u_4.cif,datasets/PRI30k/PDBs/7PIP_u_4.cif,True,226322,663,9137,orig
6468,7PIP,u,7,7PIP_u_7.cif,datasets/PRI30k/PDBs/7PIP_u_7.cif,True,175609,663,7088,orig
6469,6PIJ,A,1,6PIJ_A_1.cif,datasets/PRI30k/PDBs/6PIJ_A_1.cif,True,316568,11169,28938,orig
6470,6PIJ,B,1,6PIJ_B_1.cif,datasets/PRI30k/PDBs/6PIJ_B_1.cif,True,311264,4311,27849,orig
6471,6PIJ,C,1,6PIJ_C_1.cif,datasets/PRI30k/PDBs/6PIJ_C_1.cif,True,311342,7589,25917,orig
6472,6PIJ,D,1,6PIJ_D_1.cif,datasets/PRI30k/PDBs/6PIJ_D_1.cif,True,310562,3028,25659,orig
6473,6PIJ,E,1,6PIJ_E_1.cif,datasets/PRI30k/PDBs/6PIJ_E_1.cif,True,310952,3654,27164,orig
6474,6PIJ,F,1,6PIJ_F_1.cif,datasets/PRI30k/PDBs/6PIJ_F_1.cif,True,295274,2509,26891,orig
6475,6PIJ,G,1,6PIJ_G_1.cif,datasets/PRI30k/PDBs/6PIJ_G_1.cif,True,412274,5623,36927,orig
6476,6PIJ,H,1,6PIJ_H_1.cif,datasets/PRI30k/PDBs/6PIJ_H_1.cif,True,224840,1898,24822,orig
6477,6R86,5,4,6R86_5_4.cif,datasets/PRI30k/PDBs/6R86_5_4.cif,True,372728,14525,17978,orig
6478,6R86,a,4,6R86_a_4.cif,datasets/PRI30k/PDBs/6R86_a_4.cif,True,339422,1029,17072,orig
6479,6R86,G,4,6R86_G_4.cif,datasets/PRI30k/PDBs/6R86_G_4.cif,True,476312,4602,22214,orig
6480,6R86,H,3,6R86_H_3.cif,datasets/PRI30k/PDBs/6R86_H_3.cif,True,386846,2799,16490,orig
6481,6R86,J,3,6R86_J_3.cif,datasets/PRI30k/PDBs/6R86_J_3.cif,True,340748,1784,15508,orig
6482,6R86,j,4,6R86_j_4.cif,datasets/PRI30k/PDBs/6R86_j_4.cif,True,337550,969,16408,orig
6483,6R86,K,4,6R86_K_4.cif,datasets/PRI30k/PDBs/6R86_K_4.cif,True,402680,1804,19523,orig
6484,6R86,l,4,6R86_l_4.cif,datasets/PRI30k/PDBs/6R86_l_4.cif,True,315086,697,15866,orig
6485,6R86,M,3,6R86_M_3.cif,datasets/PRI30k/PDBs/6R86_M_3.cif,True,307130,5309,14238,orig
6486,6R86,N,4,6R86_N_4.cif,datasets/PRI30k/PDBs/6R86_N_4.cif,True,295976,1450,14925,orig
6487,6R86,n,4,6R86_n_4.cif,datasets/PRI30k/PDBs/6R86_N_4.cif,True,295976,443,14925,upper_all
6488,6R86,p,4,6R86_p_4.cif,datasets/PRI30k/PDBs/6R86_p_4.cif,True,396128,1727,19541,orig
6489,6R86,s,3,6R86_s_3.cif,datasets/PRI30k/PDBs/6R86_s_3.cif,True,339656,1795,14942,orig
6490,6R86,U,3,6R86_U_3.cif,datasets/PRI30k/PDBs/6R86_U_3.cif,True,314306,2167,14616,orig
6491,6R86,V,3,6R86_V_3.cif,datasets/PRI30k/PDBs/6R86_V_3.cif,True,301124,1395,13986,orig
6492,6R86,Z,4,6R86_Z_4.cif,datasets/PRI30k/PDBs/6R86_Z_4.cif,True,337160,997,16438,orig
6493,7ZRZ,AP1,ZN1,7ZRZ_AP1_ZN1.cif,datasets/PRI30k/PDBs/7ZRZ_AP1_ZN1.cif,True,252994,1435,1645,orig
6494,7ZRZ,BP4,ZN1,7ZRZ_BP4_ZN1.cif,datasets/PRI30k/PDBs/7ZRZ_BP4_ZN1.cif,True,205926,861,1645,orig
6495,7ZRZ,CP1,ZN1,7ZRZ_CP1_ZN1.cif,datasets/PRI30k/PDBs/7ZRZ_CP1_ZN1.cif,True,282186,1791,1645,orig
6496,4J7L,A,B,4J7L_A_B.cif,datasets/PRI30k/PDBs/4J7L_A_B.cif,True,278588,11019,554,orig
6497,7KRO,B,T,7KRO_B_T.cif,datasets/PRI30k/PDBs/7KRO_B_T.cif,True,182798,2525,3515,orig
6498,7KRO,D,P,7KRO_D_P.cif,datasets/PRI30k/PDBs/7KRO_D_P.cif,True,172268,1597,1142,orig
6499,7KRO,E,T,7KRO_E_T.cif,datasets/PRI30k/PDBs/7KRO_E_T.cif,True,452981,6229,7429,orig
6500,7V9X,A,E,7V9X_A_E.cif,datasets/PRI30k/PDBs/7V9X_A_E.cif,True,292388,10008,2278,orig
6501,7V9X,B,H,7V9X_B_H.cif,datasets/PRI30k/PDBs/7V9X_B_H.cif,True,292388,4042,1606,orig
6502,7V9X,C,H,7V9X_C_H.cif,datasets/PRI30k/PDBs/7V9X_C_H.cif,True,181472,3893,1403,orig
6503,3EGZ,A,B,3EGZ_A_B.cif,datasets/PRI30k/PDBs/3EGZ_A_B.cif,True,177380,4211,1629,orig
6504,7AM2,BW,R2,7AM2_BW_R2.cif,datasets/PRI30k/PDBs/7AM2_BW_R2.cif,True,352788,3632,665,orig
6505,7AM2,BZ,R2,7AM2_BZ_R2.cif,datasets/PRI30k/PDBs/7AM2_BZ_R2.cif,True,276460,2829,665,orig
6506,7AM2,CA,R2,7AM2_CA_R2.cif,datasets/PRI30k/PDBs/7AM2_CA_R2.cif,True,387139,4767,665,orig
6507,3G6E,D,9,3G6E_D_9.cif,datasets/PRI30k/PDBs/3G6E_D_9.cif,True,316010,1268,12829,orig
6508,3G6E,N,9,3G6E_N_9.cif,datasets/PRI30k/PDBs/3G6E_N_9.cif,True,341554,3075,13213,orig
6509,3G6E,Q,9,3G6E_Q_9.cif,datasets/PRI30k/PDBs/3G6E_Q_9.cif,True,283314,778,11534,orig
6510,3G6E,W,9,3G6E_W_9.cif,datasets/PRI30k/PDBs/3G6E_W_9.cif,True,326135,1263,12821,orig
6511,6S91,A,U,6S91_A_U.cif,datasets/PRI30k/PDBs/6S91_A_U.cif,True,157292,5218,1290,orig
6512,6S91,B,U,6S91_B_U.cif,datasets/PRI30k/PDBs/6S91_B_U.cif,True,155888,2144,1289,orig
6513,6S91,C,U,6S91_C_U.cif,datasets/PRI30k/PDBs/6S91_C_U.cif,True,157916,3736,1298,orig
6514,6S91,D,U,6S91_D_U.cif,datasets/PRI30k/PDBs/6S91_D_U.cif,True,236930,2563,1504,orig
6515,6S91,D,V,6S91_D_V.cif,datasets/PRI30k/PDBs/6S91_D_V.cif,True,257756,2563,1172,orig
6516,6S91,E,U,6S91_E_U.cif,datasets/PRI30k/PDBs/6S91_E_U.cif,True,236930,3238,1504,orig
6517,6S91,E,V,6S91_E_V.cif,datasets/PRI30k/PDBs/6S91_E_V.cif,True,257756,3238,1172,orig
6518,6S91,F,U,6S91_F_U.cif,datasets/PRI30k/PDBs/6S91_F_U.cif,True,236930,2274,1504,orig
6519,6S91,F,V,6S91_F_V.cif,datasets/PRI30k/PDBs/6S91_F_V.cif,True,257756,2274,1172,orig
6520,6S91,G,U,6S91_G_U.cif,datasets/PRI30k/PDBs/6S91_G_U.cif,True,235682,3225,1504,orig
6521,6S91,G,V,6S91_G_V.cif,datasets/PRI30k/PDBs/6S91_G_V.cif,True,256508,3248,1165,orig
6522,6S91,H,V,6S91_H_V.cif,datasets/PRI30k/PDBs/6S91_H_V.cif,True,277568,2885,1102,orig
6523,6S91,I,U,6S91_I_U.cif,datasets/PRI30k/PDBs/6S91_I_U.cif,True,237554,2560,1439,orig
6524,6S91,I,V,6S91_I_V.cif,datasets/PRI30k/PDBs/6S91_I_V.cif,True,258380,2560,1151,orig
6525,6S91,J,U,6S91_J_U.cif,datasets/PRI30k/PDBs/6S91_J_U.cif,True,358532,3833,1786,orig
6526,6S91,J,V,6S91_J_V.cif,datasets/PRI30k/PDBs/6S91_J_V.cif,True,379358,3833,1193,orig
6527,6S91,t,V,6S91_t_V.cif,datasets/PRI30k/PDBs/6S91_t_V.cif,True,187868,1425,1116,orig
6528,7SYT,b,z,7SYT_b_z.cif,datasets/PRI30k/PDBs/7SYT_b_z.cif,True,391826,824,4018,orig
6529,7SYT,c,z,7SYT_c_z.cif,datasets/PRI30k/PDBs/7SYT_c_z.cif,True,448622,5,4018,orig
6530,7SYT,C,z,7SYT_C_z.cif,datasets/PRI30k/PDBs/7SYT_c_z.cif,True,448622,8610,4018,prot_chain_lower
6531,7SYT,d,z,7SYT_d_z.cif,datasets/PRI30k/PDBs/7SYT_d_z.cif,True,447608,14,4018,orig
6532,7SYT,D,z,7SYT_D_z.cif,datasets/PRI30k/PDBs/7SYT_d_z.cif,True,447608,1908,4018,prot_chain_lower
6533,7SYT,P,z,7SYT_P_z.cif,datasets/PRI30k/PDBs/7SYT_P_z.cif,True,393008,1913,4018,orig
6534,3G8S,A,P,3G8S_A_P.cif,datasets/PRI30k/PDBs/3G8S_A_P.cif,True,293919,6252,3726,orig
6535,3G8S,B,Q,3G8S_B_Q.cif,datasets/PRI30k/PDBs/3G8S_B_Q.cif,True,302594,874,3026,orig
6536,3G8S,C,R,3G8S_C_R.cif,datasets/PRI30k/PDBs/3G8S_C_R.cif,True,299314,4914,3204,orig
6537,3G8S,D,S,3G8S_D_S.cif,datasets/PRI30k/PDBs/3G8S_D_S.cif,True,298914,3798,3243,orig
6538,6G1S,A,X,6G1S_A_X.cif,datasets/PRI30k/PDBs/6G1S_A_X.cif,True,785174,31907,318,orig
6539,6G1S,A,Y,6G1S_A_Y.cif,datasets/PRI30k/PDBs/6G1S_A_Y.cif,True,785420,31910,2225,orig
6540,4C7O,A,E,4C7O_A_E.cif,datasets/PRI30k/PDBs/4C7O_A_E.cif,True,278831,9452,2052,orig
6541,4C7O,B,E,4C7O_B_E.cif,datasets/PRI30k/PDBs/4C7O_B_E.cif,True,268574,2441,2090,orig
6542,4C7O,D,E,4C7O_D_E.cif,datasets/PRI30k/PDBs/4C7O_D_E.cif,True,280300,2684,2261,orig
6543,8EV3,C,2,8EV3_C_2.cif,datasets/PRI30k/PDBs/8EV3_C_2.cif,True,462357,9881,32442,orig
6544,8EV3,G,2,8EV3_G_2.cif,datasets/PRI30k/PDBs/8EV3_G_2.cif,True,348470,2485,24296,orig
6545,8EV3,G,6,8EV3_G_6.cif,datasets/PRI30k/PDBs/8EV3_G_6.cif,True,223514,1979,9474,orig
6546,8EV3,h,2,8EV3_h_2.cif,datasets/PRI30k/PDBs/8EV3_h_2.cif,True,322910,1001,22881,orig
6547,8EV3,j,2,8EV3_j_2.cif,datasets/PRI30k/PDBs/8EV3_j_2.cif,True,300674,564,21026,orig
6548,8EV3,K,6,8EV3_K_6.cif,datasets/PRI30k/PDBs/8EV3_K_6.cif,True,270011,1914,10445,orig
6549,8EV3,L,2,8EV3_L_2.cif,datasets/PRI30k/PDBs/8EV3_L_2.cif,True,318521,1402,22195,orig
6550,8EV3,n,2,8EV3_n_2.cif,datasets/PRI30k/PDBs/8EV3_n_2.cif,True,354249,7,24972,orig
6551,8EV3,N,2,8EV3_N_2.cif,datasets/PRI30k/PDBs/8EV3_n_2.cif,True,354249,3216,24972,prot_chain_lower
6552,8EV3,o,6,8EV3_o_6.cif,datasets/PRI30k/PDBs/8EV3_o_6.cif,True,201635,1055,8770,orig
6553,8EV3,P,2,8EV3_P_2.cif,datasets/PRI30k/PDBs/8EV3_P_2.cif,True,335615,1954,24485,orig
6554,8EV3,t,2,8EV3_t_2.cif,datasets/PRI30k/PDBs/8EV3_t_2.cif,True,323603,1055,23411,orig
6555,8EV3,t,6,8EV3_t_6.cif,datasets/PRI30k/PDBs/8EV3_t_6.cif,True,200249,1055,8394,orig
6556,8EV3,v,2,8EV3_v_2.cif,datasets/PRI30k/PDBs/8EV3_v_2.cif,True,346010,1300,23469,orig
6557,8EV3,x,2,8EV3_x_2.cif,datasets/PRI30k/PDBs/8EV3_x_2.cif,True,439719,2519,31934,orig
6558,8EV3,Y,2,8EV3_Y_2.cif,datasets/PRI30k/PDBs/8EV3_Y_2.cif,True,322833,1198,22631,orig
6559,8CH6,1,f,8CH6_1_f.cif,datasets/PRI30k/PDBs/8CH6_1_f.cif,True,257600,20139,2906,orig
6560,8CH6,2,f,8CH6_2_f.cif,datasets/PRI30k/PDBs/8CH6_2_f.cif,True,255260,13528,2906,orig
6561,8CH6,3,f,8CH6_3_f.cif,datasets/PRI30k/PDBs/8CH6_3_f.cif,True,256196,14907,2906,orig
6562,8CH6,4,f,8CH6_4_f.cif,datasets/PRI30k/PDBs/8CH6_4_f.cif,True,260018,11776,2906,orig
6563,8CH6,5,f,8CH6_5_f.cif,datasets/PRI30k/PDBs/8CH6_5_f.cif,True,258770,12374,2906,orig
6564,8CH6,8,f,8CH6_8_f.cif,datasets/PRI30k/PDBs/8CH6_8_f.cif,True,260018,8005,2906,orig
6565,8CH6,9,f,8CH6_9_f.cif,datasets/PRI30k/PDBs/8CH6_9_f.cif,True,253154,10524,2906,orig
6566,8CH6,D,g,8CH6_D_g.cif,datasets/PRI30k/PDBs/8CH6_D_g.cif,True,177314,719,1560,orig
6567,8CH6,E,d,8CH6_E_d.cif,datasets/PRI30k/PDBs/8CH6_E_d.cif,True,271379,1774,2009,orig
6568,8CH6,E,f,8CH6_E_f.cif,datasets/PRI30k/PDBs/8CH6_E_f.cif,True,332402,1768,2906,orig
6569,8CH6,E,g,8CH6_E_g.cif,datasets/PRI30k/PDBs/8CH6_E_g.cif,True,227336,1768,1560,orig
6570,8CH6,h,e,8CH6_h_e.cif,datasets/PRI30k/PDBs/8CH6_h_e.cif,True,184618,324,2101,orig
6571,8CH6,I,d,8CH6_I_d.cif,datasets/PRI30k/PDBs/8CH6_I_d.cif,True,245864,1123,2009,orig
6572,8CH6,i,e,8CH6_i_e.cif,datasets/PRI30k/PDBs/8CH6_i_e.cif,True,251939,31,2101,orig
6573,8CH6,I,e,8CH6_I_e.cif,datasets/PRI30k/PDBs/8CH6_i_e.cif,True,251939,1123,2101,prot_chain_lower
6574,8CH6,I,f,8CH6_I_f.cif,datasets/PRI30k/PDBs/8CH6_I_f.cif,True,319655,1123,2906,orig
6575,8CH6,I,g,8CH6_I_g.cif,datasets/PRI30k/PDBs/8CH6_I_g.cif,True,210548,1123,1560,orig
6576,8CH6,j,e,8CH6_j_e.cif,datasets/PRI30k/PDBs/8CH6_j_e.cif,True,185619,335,2101,orig
6577,8CH6,J,f,8CH6_J_f.cif,datasets/PRI30k/PDBs/8CH6_J_f.cif,True,418142,2188,2906,orig
6578,8CH6,J,g,8CH6_J_g.cif,datasets/PRI30k/PDBs/8CH6_J_g.cif,True,307688,2188,1560,orig
6579,8CH6,k,e,8CH6_k_e.cif,datasets/PRI30k/PDBs/8CH6_k_e.cif,True,189700,388,2101,orig
6580,8CH6,l,e,8CH6_l_e.cif,datasets/PRI30k/PDBs/8CH6_l_e.cif,True,185773,353,2101,orig
6581,8CH6,m,e,8CH6_m_e.cif,datasets/PRI30k/PDBs/8CH6_m_e.cif,True,183617,334,2101,orig
6582,8CH6,n,e,8CH6_n_e.cif,datasets/PRI30k/PDBs/8CH6_n_e.cif,True,184079,322,2101,orig
6583,8CH6,O,e,8CH6_O_e.cif,datasets/PRI30k/PDBs/8CH6_O_e.cif,True,358220,9513,2101,orig
6584,8CH6,P,d,8CH6_P_d.cif,datasets/PRI30k/PDBs/8CH6_P_d.cif,True,359021,3096,2009,orig
6585,8CH6,P,f,8CH6_P_f.cif,datasets/PRI30k/PDBs/8CH6_P_f.cif,True,416798,3272,2906,orig
6586,8CH6,Q,d,8CH6_Q_d.cif,datasets/PRI30k/PDBs/8CH6_Q_d.cif,True,228692,823,2009,orig
6587,8CH6,q,e,8CH6_q_e.cif,datasets/PRI30k/PDBs/8CH6_q_e.cif,True,226088,3,2101,orig;low_chain_count
6588,8CH6,Q,e,8CH6_Q_e.cif,datasets/PRI30k/PDBs/8CH6_q_e.cif,True,226088,823,2101,prot_chain_lower
6589,8CH6,q,g,8CH6_q_g.cif,datasets/PRI30k/PDBs/8CH6_q_g.cif,True,155974,464,1560,orig
6590,8CH6,s,f,8CH6_s_f.cif,datasets/PRI30k/PDBs/8CH6_s_f.cif,True,290516,838,2906,orig
6591,8CH6,T,d,8CH6_T_d.cif,datasets/PRI30k/PDBs/8CH6_T_d.cif,True,260702,4533,2009,orig
6592,8CH6,U,d,8CH6_U_d.cif,datasets/PRI30k/PDBs/8CH6_U_d.cif,True,330752,2747,2009,orig
6593,8CH6,U,g,8CH6_U_g.cif,datasets/PRI30k/PDBs/8CH6_U_g.cif,True,295436,2871,1560,orig
6594,8CH6,V,g,8CH6_V_g.cif,datasets/PRI30k/PDBs/8CH6_V_g.cif,True,277724,2131,1560,orig
6595,8CH6,X,d,8CH6_X_d.cif,datasets/PRI30k/PDBs/8CH6_X_d.cif,True,290576,1587,2009,orig
6596,8CH6,Y,d,8CH6_Y_d.cif,datasets/PRI30k/PDBs/8CH6_Y_d.cif,True,344279,2643,2009,orig
6597,8CH6,Y,g,8CH6_Y_g.cif,datasets/PRI30k/PDBs/8CH6_Y_g.cif,True,297536,2643,1560,orig
6598,8CH6,Z,g,8CH6_Z_g.cif,datasets/PRI30k/PDBs/8CH6_Z_g.cif,True,173794,626,1560,orig
6599,7SYK,c,z,7SYK_c_z.cif,datasets/PRI30k/PDBs/7SYK_c_z.cif,True,321482,656,3466,orig
6600,6OGI,e,2,6OGI_e_2.cif,datasets/PRI30k/PDBs/6OGI_e_2.cif,True,310718,1441,22101,orig
6601,6OGI,L,4,6OGI_L_4.cif,datasets/PRI30k/PDBs/6OGI_L_4.cif,True,126638,1826,5765,orig
6602,6OGI,m,2,6OGI_m_2.cif,datasets/PRI30k/PDBs/6OGI_m_2.cif,True,284510,1099,17202,orig
6603,6OGI,N,5,6OGI_N_5.cif,datasets/PRI30k/PDBs/6OGI_N_5.cif,True,203234,2093,9203,orig
6604,6OGI,o,2,6OGI_o_2.cif,datasets/PRI30k/PDBs/6OGI_o_2.cif,True,270314,921,17249,orig
6605,6OGI,v,2,6OGI_v_2.cif,datasets/PRI30k/PDBs/6OGI_v_2.cif,True,259472,754,16545,orig
6606,6OGI,w,2,6OGI_w_2.cif,datasets/PRI30k/PDBs/6OGI_w_2.cif,True,245588,575,15922,orig
6607,6OGI,z,2,6OGI_z_2.cif,datasets/PRI30k/PDBs/6OGI_z_2.cif,True,235760,450,15733,orig
6608,6OGI,Z,4,6OGI_Z_4.cif,datasets/PRI30k/PDBs/6OGI_Z_4.cif,True,74009,570,3084,orig
6609,3IRW,P,R,3IRW_P_R.cif,datasets/PRI30k/PDBs/3IRW_P_R.cif,True,235172,1280,2425,orig
6610,4U51,l4,8,4U51_l4_8.cif,datasets/PRI30k/PDBs/4U51_l4_8.cif,True,512770,2763,18213,orig
6611,4U51,L5,3,4U51_L5_3.cif,datasets/PRI30k/PDBs/4U51_L5_3.cif,True,414780,2376,17544,orig
6612,4U51,l5,7,4U51_l5_7.cif,datasets/PRI30k/PDBs/4U51_l5_7.cif,True,419916,2381,16172,orig
6613,4U51,L7,3,4U51_L7_3.cif,datasets/PRI30k/PDBs/4U51_L7_3.cif,True,371029,1788,16898,orig
6614,4U51,l7,7,4U51_l7_7.cif,datasets/PRI30k/PDBs/4U51_l7_7.cif,True,366564,1792,16099,orig
6615,4U51,l8,8,4U51_l8_8.cif,datasets/PRI30k/PDBs/4U51_l8_8.cif,True,430770,1763,17669,orig
6616,4U51,M0,3,4U51_M0_3.cif,datasets/PRI30k/PDBs/4U51_M0_3.cif,True,360496,1714,15424,orig
6617,4U51,m0,7,4U51_m0_7.cif,datasets/PRI30k/PDBs/4U51_m0_7.cif,True,361972,1736,14090,orig
6618,4U51,M1,3,4U51_M1_3.cif,datasets/PRI30k/PDBs/4U51_M1_3.cif,True,330976,1354,14273,orig
6619,4U51,m1,7,4U51_m1_7.cif,datasets/PRI30k/PDBs/4U51_m1_7.cif,True,331140,1360,14194,orig
6620,4U51,m3,8,4U51_m3_8.cif,datasets/PRI30k/PDBs/4U51_m3_8.cif,True,413140,1548,15127,orig
6621,4U51,m5,8,4U51_m5_8.cif,datasets/PRI30k/PDBs/4U51_m5_8.cif,True,428064,1730,15189,orig
6622,4U51,m7,8,4U51_m7_8.cif,datasets/PRI30k/PDBs/4U51_m7_8.cif,True,387802,1239,13892,orig
6623,4U51,N0,3,4U51_N0_3.cif,datasets/PRI30k/PDBs/4U51_N0_3.cif,True,338520,1446,14751,orig
6624,4U51,n0,7,4U51_n0_7.cif,datasets/PRI30k/PDBs/4U51_n0_7.cif,True,338356,1448,12851,orig
6625,4U51,N1,3,4U51_N1_3.cif,datasets/PRI30k/PDBs/4U51_N1_3.cif,True,325154,1417,14522,orig
6626,4U51,n1,7,4U51_n1_7.cif,datasets/PRI30k/PDBs/4U51_n1_7.cif,True,324252,1276,12733,orig
6627,4U51,n5,8,4U51_n5_8.cif,datasets/PRI30k/PDBs/4U51_n5_8.cif,True,365416,966,13385,orig
6628,4U51,n6,8,4U51_n6_8.cif,datasets/PRI30k/PDBs/4U51_n6_8.cif,True,367794,995,13809,orig
6629,4U51,o5,8,4U51_o5_8.cif,datasets/PRI30k/PDBs/4U51_o5_8.cif,True,365334,965,13376,orig
6630,4U51,o7,8,4U51_o7_8.cif,datasets/PRI30k/PDBs/4U51_o7_8.cif,True,342210,683,12921,orig
6631,4U51,o9,8,4U51_o9_8.cif,datasets/PRI30k/PDBs/4U51_o9_8.cif,True,322038,437,12254,orig
6632,5LZY,C,8,5LZY_C_8.cif,datasets/PRI30k/PDBs/5LZY_C_8.cif,True,494048,10264,17596,orig
6633,5LZY,D,7,5LZY_D_7.cif,datasets/PRI30k/PDBs/5LZY_D_7.cif,True,401708,2677,14389,orig
6634,5LZY,F,7,5LZY_F_7.cif,datasets/PRI30k/PDBs/5LZY_F_7.cif,True,359912,1875,12769,orig
6635,5LZY,FF,3,5LZY_FF_3.cif,datasets/PRI30k/PDBs/5LZY_FF_3.cif,True,242490,1471,10462,orig
6636,5LZY,G,8,5LZY_G_8.cif,datasets/PRI30k/PDBs/5LZY_G_8.cif,True,412724,3674,15772,orig
6637,5LZY,h,8,5LZY_h_8.cif,datasets/PRI30k/PDBs/5LZY_h_8.cif,True,342578,1015,12983,orig
6638,5LZY,I,7,5LZY_I_7.cif,datasets/PRI30k/PDBs/5LZY_I_7.cif,True,342902,1849,13062,orig
6639,5LZY,J,2,5LZY_J_2.cif,datasets/PRI30k/PDBs/5LZY_J_2.cif,True,230924,1362,20650,orig
6640,5LZY,j,8,5LZY_j_8.cif,datasets/PRI30k/PDBs/5LZY_j_8.cif,True,317792,707,12408,orig
6641,5LZY,J,7,5LZY_J_7.cif,datasets/PRI30k/PDBs/5LZY_J_7.cif,True,318359,1362,11743,orig
6642,5LZY,L,8,5LZY_L_8.cif,datasets/PRI30k/PDBs/5LZY_L_8.cif,True,296732,178,11615,orig
6643,5LZY,l,8,5LZY_l_8.cif,datasets/PRI30k/PDBs/5LZY_L_8.cif,True,296732,463,11615,upper_all
6644,5LZY,N,8,5LZY_N_8.cif,datasets/PRI30k/PDBs/5LZY_N_8.cif,True,398306,3660,15111,orig
6645,5LZY,o,2,5LZY_o_2.cif,datasets/PRI30k/PDBs/5LZY_o_2.cif,True,198479,881,16488,orig
6646,5LZY,o,3,5LZY_o_3.cif,datasets/PRI30k/PDBs/5LZY_o_3.cif,True,198479,881,9450,orig
6647,5LZY,P,8,5LZY_P_8.cif,datasets/PRI30k/PDBs/5LZY_P_8.cif,True,361208,2002,14163,orig
6648,5LZY,S,7,5LZY_S_7.cif,datasets/PRI30k/PDBs/5LZY_S_7.cif,True,326459,1867,12029,orig
6649,5LZY,T,7,5LZY_T_7.cif,datasets/PRI30k/PDBs/5LZY_T_7.cif,True,313175,5354,11882,orig
6650,5LZY,X,8,5LZY_X_8.cif,datasets/PRI30k/PDBs/5LZY_X_8.cif,True,338852,968,13210,orig
6651,5LZY,Y,8,5LZY_Y_8.cif,datasets/PRI30k/PDBs/5LZY_Y_8.cif,True,350840,1401,13171,orig
6652,4RDX,A,C,4RDX_A_C.cif,datasets/PRI30k/PDBs/4RDX_A_C.cif,True,393933,13460,7705,orig
6653,8R3V,32,82,8R3V_32_82.cif,datasets/PRI30k/PDBs/8R3V_32_82.cif,True,247992,1180,3072,orig
6654,8R3V,4,82,8R3V_4_82.cif,datasets/PRI30k/PDBs/8R3V_4_82.cif,True,254634,15440,3078,orig
6655,8R3V,C1,V2,8R3V_C1_V2.cif,datasets/PRI30k/PDBs/8R3V_C1_V2.cif,True,241147,1729,1382,orig
6656,8R3V,C2,V2,8R3V_C2_V2.cif,datasets/PRI30k/PDBs/8R3V_C2_V2.cif,True,240594,1786,1382,orig
6657,8R3V,E1,V2,8R3V_E1_V2.cif,datasets/PRI30k/PDBs/8R3V_E1_V2.cif,True,201726,1189,1382,orig
6658,8R3V,e2,82,8R3V_e2_82.cif,datasets/PRI30k/PDBs/8R3V_e2_82.cif,True,327614,1420,3235,orig
6659,8R3V,E2,V2,8R3V_E2_V2.cif,datasets/PRI30k/PDBs/8R3V_E2_V2.cif,True,201726,1189,1382,orig
6660,8R3V,e2,W,8R3V_e2_W.cif,datasets/PRI30k/PDBs/8R3V_e2_W.cif,True,250616,1420,1631,orig
6661,8R3V,G2,V2,8R3V_G2_V2.cif,datasets/PRI30k/PDBs/8R3V_G2_V2.cif,True,205518,1240,1382,orig
6662,8R3V,G2,X2,8R3V_G2_X2.cif,datasets/PRI30k/PDBs/8R3V_G2_X2.cif,True,232742,1240,1654,orig
6663,8R3V,h2,Y2,8R3V_h2_Y2.cif,datasets/PRI30k/PDBs/8R3V_h2_Y2.cif,True,223474,1086,1634,orig
6664,8R3V,I1,W1,8R3V_I1_W1.cif,datasets/PRI30k/PDBs/8R3V_I1_W1.cif,True,146477,1022,781,orig
6665,8R3V,I2,W,8R3V_I2_W.cif,datasets/PRI30k/PDBs/8R3V_I2_W.cif,True,219128,1036,1631,orig
6666,8R3V,r2,82,8R3V_r2_82.cif,datasets/PRI30k/PDBs/8R3V_r2_82.cif,True,284236,891,3165,orig
6667,8R3V,U1,V2,8R3V_U1_V2.cif,datasets/PRI30k/PDBs/8R3V_U1_V2.cif,True,152278,590,1382,orig
6668,8R3V,U2,V2,8R3V_U2_V2.cif,datasets/PRI30k/PDBs/8R3V_U2_V2.cif,True,151816,584,1382,orig
6669,8R3V,z2,82,8R3V_z2_82.cif,datasets/PRI30k/PDBs/8R3V_z2_82.cif,True,258898,582,3082,orig
6670,6GZZ,F1,B1,6GZZ_F1_B1.cif,datasets/PRI30k/PDBs/6GZZ_F1_B1.cif,True,323623,1474,2617,orig
6671,6GZZ,F2,B2,6GZZ_F2_B2.cif,datasets/PRI30k/PDBs/6GZZ_F2_B2.cif,True,323623,1474,2617,orig
6672,6GZZ,L1,B1,6GZZ_L1_B1.cif,datasets/PRI30k/PDBs/6GZZ_L1_B1.cif,True,295815,1122,2617,orig
6673,6GZZ,L2,B2,6GZZ_L2_B2.cif,datasets/PRI30k/PDBs/6GZZ_L2_B2.cif,True,295815,1122,2617,orig
6674,6GZZ,N1,B1,6GZZ_N1_B1.cif,datasets/PRI30k/PDBs/6GZZ_N1_B1.cif,True,276855,1004,2617,orig
6675,6GZZ,N2,B2,6GZZ_N2_B2.cif,datasets/PRI30k/PDBs/6GZZ_N2_B2.cif,True,276855,926,2617,orig
